"BA","DM","DO","DS","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","date","timestep"
0,7,0,1,0,0,1,0,0,0,0,1,0,0,0,1977-07-16,1
0,13,0,3,0,0,2,0,0,0,0,1,0,0,0,1977-08-19,2
0,13,0,5,0,0,1,0,0,0,0,0,0,0,0,1977-09-11,3
0,11,2,7,0,0,0,0,0,0,0,0,0,0,0,1977-10-16,4
0,8,0,7,0,0,1,0,0,0,0,0,0,1,0,1977-11-12,5
0,9,0,9,0,0,1,0,0,0,0,0,0,0,0,1977-12-10,6
0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,1978-01-08,7
0,8,0,5,0,0,1,0,0,0,0,0,0,0,0,1978-02-18,8
0,8,0,8,0,0,1,0,0,0,0,0,0,1,0,1978-03-11,9
0,7,1,10,0,0,0,0,0,0,0,0,0,0,0,1978-04-08,10
0,12,1,9,0,0,0,0,0,0,1,1,0,0,0,1978-05-17,11
0,8,1,9,0,0,0,0,0,0,0,1,0,0,0,1978-06-08,12
0,9,1,10,0,0,0,0,0,0,0,2,0,0,0,1978-07-07,13
0,10,1,9,0,2,0,0,0,0,0,0,0,0,0,1978-08-04,14
0,13,0,8,0,0,1,0,0,0,0,2,0,0,0,1978-09-03,15
0,10,1,7,0,0,1,0,0,0,0,1,0,0,0,1978-10-06,16
0,9,1,4,0,0,0,0,0,0,0,0,0,0,0,1978-11-04,17
0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,1978-12-02,18
0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,1979-01-28,20
0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,1979-02-24,21
0,4,2,7,0,1,0,0,0,0,0,0,0,0,0,1979-03-31,22
0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,1979-04-28,23
0,6,1,9,0,0,0,0,0,0,0,0,0,0,0,1979-05-29,24
0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,1979-07-03,25
0,4,1,7,0,1,0,0,0,0,0,1,0,0,0,1979-07-24,26
0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,1979-08-21,27
0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,1979-09-22,28
0,6,1,6,0,0,0,0,0,0,0,1,0,0,0,1979-10-24,29
0,9,1,4,0,0,0,0,0,0,0,1,0,2,0,1979-11-17,30
0,16,1,4,0,0,2,0,0,0,0,0,0,1,0,1980-01-15,32
0,4,2,2,0,0,2,0,0,0,0,0,0,1,0,1980-02-24,33
0,7,1,7,0,0,1,0,0,0,0,0,0,0,0,1980-03-21,34
0,4,1,7,0,0,1,0,0,0,0,0,0,0,0,1980-04-17,35
0,4,2,10,0,0,1,0,0,0,0,0,0,0,0,1980-05-17,36
0,8,4,11,0,0,1,0,0,0,0,0,0,0,0,1980-06-22,37
0,7,4,10,0,0,1,0,0,0,0,0,0,0,0,1980-07-21,38
0,7,3,8,0,0,0,0,0,0,0,0,0,0,0,1980-08-13,39
0,5,1,8,0,0,0,0,0,0,0,2,0,0,0,1980-09-07,40
0,3,1,6,0,0,0,0,0,0,0,1,0,0,0,1980-10-11,41
0,5,1,5,0,0,1,0,0,0,0,0,0,0,0,1980-11-08,42
0,11,1,4,0,1,1,0,0,0,0,0,0,0,0,1980-12-15,43
0,7,1,3,0,0,0,0,0,0,0,1,0,0,0,1981-01-11,44
